X,Y,OBJECTID,RADICADO,FECHA,HORA,DIA,PERIODO,CLASE,DIRECCION,DIRECCION_ENC,CBML,TIPO_GEOCOD,GRAVEDAD,BARRIO,COMUNA,DISENO,DIA_NOMBRE,MES,MES_NOMBRE,X_MAGNAMED,Y_MAGNAMED,LONGITUD,LATITUD
-75.54192138419,6.24976926805965,826068,1713930,2020/05/07 00:00:00+00,05:20:00,07,2020,Caida Ocupante,CL 57 A CR 19,CL  057 A   019  000 00000,807,Malla vial,CON HERIDOS,Los Mangos,Villa Hermosa,Lote o Predio,JUEVES   ,05,MAYO      ,837920.67,1183091.19,-75.54192138,6.24976927
-75.5973145530972,6.24474507202153,826069,1722942,2020/09/09 00:00:00+00,01:31:00,09,2020,Choque,CQ 75 CL 38,CQ  075   038  000 00000,1108,Malla vial,SOLO DAÑOS,Laureles,Laureles Estadio,Glorieta,MIÉRCOLES,09,SEPTIEMBRE,831789.25,1182535.5,-75.59731455,6.24474507
-75.5676123162668,6.25023986524816,826070,1726499,2020/10/17 00:00:00+00,04:00:00,17,2020,Otro,CR 50 CL 51,CR  050   051  000 00000,1019,Malla vial,CON HERIDOS,La Candelaria,La Candelaria,Tramo de via,SÁBADO   ,10,OCTUBRE   ,835076.98,1183143.19,-75.56761232,6.25023987
-75.558520223066,6.30906988615598,826071,1712961,2020/04/07 00:00:00+00,12:00:00,07,2020,Choque,CR 64 AA CL 114,CR  064 AA  114  000 00000,501,Malla vial aproximada: CR 63-114,SOLO DAÑOS,Toscana,Castilla,Tramo de via,MARTES   ,04,ABRIL     ,836083.29,1189650.6,-75.55852022,6.30906989
-75.6217983369001,6.25466934647702,826072,1730025,2020/11/23 00:00:00+00,03:00:00,23,2020,Volcamiento,CL 42 CR 108 A,CL  042   108 A  000 00000,1316,Malla vial aproximada: CL 42-108,CON HERIDOS,El Salado,San Javier,Tramo de via,LUNES    ,11,NOVIEMBRE ,829079.27,1183633.49,-75.62179834,6.25466935
-75.5915217783586,6.23229711944445,826073,1729270,2020/11/12 00:00:00+00,07:10:00,12,2020,Choque,CR 70 CL 30 A,CR  070   030 A  000 00000,1602,Malla vial,SOLO DAÑOS,Rosales,Belén,Tramo de via,JUEVES   ,11,NOVIEMBRE ,832430.38,1181158.55,-75.59152178,6.23229712
-75.5908483457227,6.23161604391047,826074,1702636,2020/01/05 00:00:00+00,09:00:00,05,2020,Choque,CL 30 CR 69 C,CL  030   069 C  000 00000,1602,Malla vial,CON HERIDOS,Rosales,Belén,Tramo de via,DOMINGO  ,01,ENERO     ,832504.92,1181083.21,-75.59084835,6.23161604
-75.5642121750618,6.29332711889958,826075,1722533,2020/09/06 00:00:00+00,08:00:00,06,2020,Otro,CR 63 CL 101,CR  063   101  000 00000,510,Malla vial,CON HERIDOS,Tricentenario,Castilla,Lote o Predio,DOMINGO  ,09,SEPTIEMBRE,835453.33,1187909.23,-75.56421218,6.29332712
-75.7038158742467,6.22180566397042,826076,1714218,2020/05/13 00:00:00+00,06:30:00,13,2020,Choque,CL 72 CR 22,CL  072   022  000 00000,0,No Ubicada,CON HERIDOS,Sin Inf,Sin Inf,Tramo de via,MIÉRCOLES,05,MAYO      ,820000,1180000,-75.70381587,6.22180566
-75.7038158742467,6.22180566397042,826077,1721303,2020/08/18 00:00:00+00,08:15:00,18,2020,Choque,CR 63 CL 54,CR  063   054  000 00000,0,No Ubicada,SOLO DAÑOS,Sin Inf,Sin Inf,Tramo de via,MARTES   ,08,AGOSTO    ,820000,1180000,-75.70381587,6.22180566
-75.5639326941401,6.30693772857398,826078,1725056,2020/10/02 00:00:00+00,06:30:00,02,2020,Otro,CR 65 CL 112,CR  065   112  000 00000,502,Malla vial,CON HERIDOS,Las Brisas,Castilla,Lote o Predio,VIERNES  ,10,OCTUBRE   ,835484.26,1189414.75,-75.56393269,6.30693773
-75.5624904811583,6.26540127936327,826079,1709966,2020/02/27 00:00:00+00,04:40:00,27,2020,Choque,CL 68 CR 51,CL  068   051  000 00000,407,Malla vial,SOLO DAÑOS,Sevilla,Aranjuez,Tramo de via,JUEVES   ,02,FEBRERO   ,835643.9,1184820.25,-75.56249048,6.26540128
-75.5618914408865,6.24141066846177,826080,1710107,2020/03/02 00:00:00+00,11:20:00,02,2020,Atropello,CR 39 CL 41,CR  039   041  000 00000,912,Malla vial,CON HERIDOS,El Salvador,Buenos Aires,Interseccion,LUNES    ,03,MARZO     ,835710.22,1182166.56,-75.56189144,6.24141067
-75.7038158742467,6.22180566397042,826081,1721143,2020/08/18 00:00:00+00,02:20:00,18,2020,Choque,CL 12 Sur CR 62,CL S 012   062  000 00000,0,No Ubicada,SOLO DAÑOS,Sin Inf,Sin Inf,Paso Elevado,MARTES   ,08,AGOSTO    ,820000,1180000,-75.70381587,6.22180566
-75.5752333494923,6.25016826073132,826082,1715880,2020/06/04 00:00:00+00,03:02:00,04,2020,Choque,CL 48 CR 57,CL  048   057  000 00000,1008,Malla vial,SOLO DAÑOS,Corazón de Jesús,La Candelaria,Tramo de via,JUEVES   ,06,JUNIO     ,834233.42,1183135.28,-75.57523335,6.25016826
-75.5922234171081,6.25597290225908,826083,1703087,2020/01/08 00:00:00+00,05:05:00,08,2020,Choque,CL 48 CR 73,CL  048   073  000 00000,1116,Malla vial,CON HERIDOS,U.D. Atanasio Girardot,Laureles Estadio,Tramo de via,MIÉRCOLES,01,ENERO     ,832352.85,1183777.42,-75.59222342,6.2559729
-75.5789500972468,6.29764222006348,826084,1711116,2020/03/05 00:00:00+00,03:35:00,05,2020,Choque,CR 78 CL 99 B,CR  078   099 B  000 00000,603,Malla vial,SOLO DAÑOS,Doce de Octubre No.2,Doce de Octubre,Tramo de via,JUEVES   ,03,MARZO     ,833822.16,1188386.56,-75.5789501,6.29764222
-75.5652426736486,6.22464720243969,826085,1707596,2020/02/13 00:00:00+00,07:15:00,13,2020,Choque,CR 38 CL 26,CR  038   026  000 00000,914,Malla vial,CON HERIDOS,Asomadera No. 1,Buenos Aires,Tramo de via,JUEVES   ,02,FEBRERO   ,835339.27,1180312.29,-75.56524267,6.2246472
-75.5678453081331,6.24942432309253,826086,1732003,2020/12/03 00:00:00+00,01:00:00,03,2020,Choque,CR 50 CL 50,CR  050   050  000 00000,1019,EPM sin Interior,SOLO DAÑOS,La Candelaria,La Candelaria,Interseccion,JUEVES   ,12,DICIEMBRE ,835051.19,1183052.98,-75.56784531,6.24942432
-75.5973193183379,6.27367096327643,826087,1722633,2020/09/04 00:00:00+00,06:30:00,04,2020,Choque,CL 62 CR 85,CL  062   085  000 00000,712,Malla vial,CON HERIDOS,Aures No. 2,Robledo,Tramo de via,VIERNES  ,09,SEPTIEMBRE,831788.92,1185735.1,-75.59731932,6.27367096
-75.5504194783019,6.27565289036669,826088,1707754,2020/02/15 00:00:00+00,06:15:00,15,2020,Otro,CL 84 CR 42,CL  084   042  000 00000,303,Malla vial,CON HERIDOS,Campo Valdés No. 2,Manrique,Tramo de via,SÁBADO   ,02,FEBRERO   ,836979.95,1185954.24,-75.55041948,6.27565289
-75.5721438256992,6.2669042132362,826089,1733780,2020/12/24 00:00:00+00,09:20:00,24,2020,Otro,CR 64 CL 67,CR  064   067  000 00000,517,Malla vial,CON HERIDOS,Caribe,Castilla,Tramo de via,JUEVES   ,12,DICIEMBRE ,834575.42,1184986.5,-75.57214383,6.26690421
-75.5613114334401,6.30921826657533,826090,1723248,2020/09/13 00:00:00+00,05:50:00,13,2020,Volcamiento,CR 64 C CL 114,CR  064 C   114  000 00000,502,Malla vial,CON HERIDOS,Las Brisas,Castilla,Lote o Predio,DOMINGO  ,09,SEPTIEMBRE,835774.37,1189667.01,-75.56131143,6.30921827
-75.5610668318402,6.31108005948786,826091,1711890,2020/03/10 00:00:00+00,01:20:00,10,2020,Choque,CR 64 C CL 119,CR  064 C   119  000 00000,502,Malla vial,SOLO DAÑOS,Las Brisas,Castilla,Tramo de via,MARTES   ,03,MARZO     ,835801.44,1189872.95,-75.56106683,6.31108006
-75.5713867367643,6.22420146729969,826092,1725923,2020/10/09 00:00:00+00,04:20:00,09,2020,Choque,CR 43 F CL 17,CR  043 F   017  000 00000,1403,Malla vial,CON HERIDOS,Villa Carlota,El Poblado,Tramo de via,VIERNES  ,10,OCTUBRE   ,834659.16,1180262.99,-75.57138674,6.22420147
-75.5772362623434,6.21509354017488,826093,1712154,2020/03/18 00:00:00+00,01:59:00,18,2020,Volcamiento,CR 49 CL 14,CR  049   014  000 00000,1403,Malla vial,CON HERIDOS,Villa Carlota,El Poblado,Tramo de via,MIÉRCOLES,03,MARZO     ,834011.63,1179255.54,-75.57723626,6.21509354
-75.5509408467528,6.24273076308055,826094,1725634,2020/10/11 00:00:00+00,07:10:00,11,2020,Atropello,CL 52 CR 29,CL  052   029  000 00000,809,Malla vial,CON HERIDOS,Sucre,Villa Hermosa,Tramo de via,DOMINGO  ,10,OCTUBRE   ,836922.34,1182312.6,-75.55094085,6.24273076
